alg;init;mut;cross;repair;min_hv;avg_hv;median_hv;max_hv;std_hv
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;brm;2335.8274307250977;2402.532688999176;2404.899642944336;2507.4987754821777;36.12990089302595
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;2387.2232151031494;2452.4582562446594;2468.0520696640015;2505.054328918457;38.909371585415876
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;2320.314655303955;2371.7816215515136;2367.861770629883;2499.1783714294434;32.82625612844756
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;2344.753049850464;2375.143538570404;2369.3030490875244;2414.1924362182617;17.158442126534254
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc;brm;2366.8252696990967;2409.945642566681;2413.034692764282;2488.74015045166;29.40973970754196
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc;rrm;2278.6138496398926;2394.012118625641;2386.8498067855835;2469.972291946411;55.36051283429725
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;2351.4326725006104;2376.111245918274;2368.888723373413;2475.031539916992;26.909008884397913
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;2265.85955619812;2364.634101676941;2368.18417263031;2392.6378631591797;24.975263848564264
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;brm;2386.6085300445557;2451.0272658348085;2457.3515825271606;2487.7936687469482;27.54468830771053
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;rrm;2374.6957054138184;2431.8705163002014;2436.827977180481;2483.860387802124;27.490624739331803
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;2395.648262023926;2454.9341114997865;2458.8833150863647;2486.159023284912;23.894529146722995
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;2358.238597869873;2419.033270740509;2422.93793964386;2469.474531173706;31.051191148990604
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc;brm;2400.7861862182617;2454.3766535758973;2461.1764764785767;2487.433038711548;22.290289236293518
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc;rrm;2346.3911266326904;2415.4132273674013;2408.7506999969482;2483.00262260437;33.92070415921154
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;2414.6528854370117;2467.587008190155;2470.5971422195435;2502.8123207092285;21.973808909693098
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;2410.4294395446777;2462.1763929367066;2469.2250604629517;2488.586940765381;23.86881286718534
