alg;init;mut;cross;repair;min_hv;avg_hv;median_hv;max_hv;std_hv
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;brm;2355.6261806488037;2420.4356132507323;2410.964045524597;2480.791904449463;35.51815897182536
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;2354.0156269073486;2416.0253615379333;2406.852400779724;2504.8754501342773;44.43106301222422
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;2351.8069972991943;2407.128422832489;2390.2431106567383;2471.8926696777344;41.52412342047281
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;2333.8857078552246;2370.808648967743;2361.801947593689;2443.7619304656982;30.850948558137247
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc;brm;2356.0440196990967;2411.7132528305056;2405.1840238571167;2498.0088806152344;34.3910315485554
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc;rrm;2343.8894119262695;2406.037172794342;2394.6447429656982;2506.57790184021;42.66827540076073
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;2312.1021785736084;2385.7595267295837;2381.7531566619873;2472.2251415252686;43.41923947819694
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;2295.624034881592;2391.363945007324;2383.877902030945;2489.884801864624;43.5204604241441
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;brm;2385.3983192443848;2445.451981639862;2451.1226501464844;2486.818893432617;26.934485468015687
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;rrm;2378.4508686065674;2441.3830783843996;2447.015157699585;2497.852849960327;33.232327379938376
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;2313.9789657592773;2385.085999774933;2380.8621015548706;2477.2381019592285;41.03576092365335
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;2340.4402980804443;2403.7344497680665;2403.935106277466;2451.2675762176514;33.8318969196835
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc;brm;2395.6638107299805;2448.6387754440307;2444.802237510681;2494.4749126434326;28.752942660352932
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc;rrm;2348.8266525268555;2407.308722782135;2400.812394142151;2500.6744689941406;42.39418858463445
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;2338.795301437378;2428.9990240097045;2432.1541872024536;2479.4361820220947;33.521422361186545
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;2318.3768825531006;2415.057289791107;2421.0119228363037;2484.764772415161;46.39947493048924
