alg;init;mut;cross;repair;min_hv;avg_hv;median_hv;max_hv;std_hv
moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;brm;2392.1479511260986;2438.724189376831;2435.6989240646362;2486.9593391418457;25.237010797419277
moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;2366.303155899048;2419.1133382797243;2412.151372909546;2496.0591945648193;30.556749969687875
moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;2276.1616611480713;2381.311820316315;2383.664993286133;2448.256887435913;43.229611194554145
moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;2357.590747833252;2419.9884373664854;2426.4014625549316;2484.306465148926;40.16210408661159
moead;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc;brm;2357.447742462158;2410.6271291732787;2413.7045373916626;2469.8348350524902;27.38289735888061
moead;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc;rrm;2335.5636806488037;2401.0087245941163;2390.3029041290283;2468.0204067230225;43.36125518665849
moead;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;2325.4204864501953;2418.477987766266;2427.6724433898926;2490.2786350250244;45.57023207961824
moead;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;2254.185131072998;2373.931572151184;2377.7757635116577;2472.5416355133057;48.70852533469024
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;brm;2336.428174972534;2420.0540907859804;2414.1387825012207;2470.1335639953613;30.528541061255165
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;rrm;2339.699789047241;2413.4346413612366;2413.223997116089;2486.0468578338623;38.02112527531111
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;2328.3916454315186;2398.7540172576905;2397.620072364807;2454.814012527466;33.37011367804135
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;2357.4134674072266;2426.7136373519897;2433.686791419983;2501.7263412475586;47.88163972550447
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc;brm;2373.760824203491;2429.414981365204;2426.254479408264;2483.1282272338867;28.26982302945125
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc;rrm;2366.941722869873;2433.106164073944;2420.7779445648193;2516.7562580108643;34.75325926253182
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;2264.3617515563965;2402.059484195709;2413.744640350342;2470.3864784240723;51.979686347057786
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;2358.765058517456;2413.4917018890383;2408.537103652954;2485.169267654419;31.810173139459472
