alg;init;mut;cross;repair;min_hv;avg_hv;median_hv;max_hv;std_hv
moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;brm;2390.365005493164;2469.3743336677553;2480.403163909912;2512.5602054595947;32.13686745070348
moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;2390.6192111968994;2470.049923324585;2479.5659704208374;2531.1964797973633;35.90218959383103
moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;2341.718282699585;2440.852137184143;2422.6928663253784;2505.867052078247;46.97485296081176
moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;2358.060209274292;2441.908775138855;2448.3698711395264;2516.456729888916;40.97800728404384
moead;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc;brm;2410.019868850708;2452.3592574119566;2452.8270406723022;2514.3440437316895;34.00627392913283
moead;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc;rrm;2389.0859718322754;2455.3668171882628;2447.997398376465;2507.79412651062;31.911134210411383
moead;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;2366.697120666504;2439.151122188568;2451.226990699768;2507.791742324829;40.73335712665232
moead;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;2386.325204849243;2453.870010089874;2460.431492805481;2522.6335048675537;40.174645219974174
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;brm;2412.2332191467285;2457.8648376464844;2469.522928237915;2532.815372467041;34.78469674750466
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;rrm;2363.220817565918;2458.0525500297545;2469.3137216567993;2529.709602355957;43.866513708806664
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;2366.214038848877;2434.834879398346;2423.5359115600586;2528.9750785827637;43.47217300654578
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;2385.0847663879395;2450.313101387024;2449.325506210327;2512.329147338867;38.404923300376964
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc;brm;2390.287561416626;2445.1093594551085;2451.4979934692383;2502.9691467285156;35.54767338786489
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc;rrm;2410.7803592681885;2454.344715976715;2459.880820274353;2497.661485671997;32.35375577630286
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;2381.709280014038;2450.6201108932496;2452.215453147888;2535.0377616882324;41.16784904987273
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;2364.788948059082;2426.4363750457765;2411.03374004364;2514.4002685546875;45.870306588318975
