alg;init;mut;cross;repair;min_hv;avg_hv;median_hv;max_hv;std_hv
moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ac;brm;2388.0643520355225;2461.1934025764467;2464.6431427001953;2511.2729873657227;27.62050034823814
moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ac;rrm;2377.5805225372314;2453.8225794792174;2454.2158126831055;2512.269090652466;32.55955381468589
moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ppc;brm;2367.0880222320557;2465.0850657463075;2470.472617149353;2531.1047763824463;36.76315255189637
moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ppc;rrm;2368.0573024749756;2458.542304325104;2469.495087623596;2531.804702758789;41.102611520164764
moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;2388.757091522217;2447.6190856933595;2458.017331123352;2492.6310291290283;31.512184380493068
moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;2362.9569702148438;2444.451465702057;2453.043007850647;2500.49529838562;39.93398732377341
moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;spc;brm;2402.4713821411133;2459.943122768402;2463.439645767212;2491.6696758270264;22.161745437974364
moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;spc;rrm;2387.2090339660645;2453.4325214385985;2457.1460189819336;2492.1563301086426;26.631596305178917
moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ac;brm;2363.6629371643066;2439.9124417304993;2451.264183998108;2483.911516189575;31.94624480043326
moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ac;rrm;2401.6674766540527;2452.88468542099;2447.404709815979;2492.916986465454;26.852030836936247
moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc;brm;2442.315647125244;2477.5255032539367;2470.011570930481;2526.251512527466;22.968301080257273
moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc;rrm;2415.617425918579;2474.0677785873413;2469.6322717666626;2532.11643409729;27.72467735499053
moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;2389.8254413604736;2451.455727386475;2465.6627922058105;2503.884267807007;36.12443499217599
moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;2380.3999977111816;2443.7079436302183;2453.396113395691;2501.2086639404297;38.46643999717239
moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;spc;brm;2408.4189987182617;2454.4136163711546;2448.3391160964966;2496.9245376586914;23.096691669025756
moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;spc;rrm;2407.8686714172363;2447.9784013748167;2446.9150371551514;2496.118139266968;25.469836395483853
