alg;init;mut;cross;repair;min_hv;avg_hv;median_hv;max_hv;std_hv
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ac;brm;2339.1706409454346;2399.657903766632;2412.901111602783;2448.509624481201;34.517736413965274
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ac;rrm;2332.963144302368;2395.6290106773376;2402.7618494033813;2471.6124477386475;35.390779515836705
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ppc;brm;2383.5530376434326;2432.205012512207;2432.0744667053223;2490.083261489868;27.127479899734862
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ppc;rrm;2344.8698177337646;2426.19523229599;2428.1841974258423;2477.653985977173;30.659210884773792
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;2292.3533668518066;2372.2022890090943;2369.4900159835815;2438.4709854125977;44.530101850588565
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;2322.154718399048;2390.4756866455077;2392.497755050659;2441.3271198272705;37.57373846400823
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;spc;brm;2368.1115894317627;2431.304549121857;2435.8535900115967;2497.5584964752197;30.412981909947213
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;spc;rrm;2353.741195678711;2433.3483741760256;2441.470838546753;2505.749900817871;38.01868010282707
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ac;brm;2326.1890716552734;2403.1363339424133;2401.3248615264893;2475.76469039917;36.56377213359732
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ac;rrm;2325.438789367676;2396.1788296699524;2387.489959716797;2477.2974071502686;38.7854893329597
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc;brm;2394.5686988830566;2427.408939743042;2421.5501413345337;2463.899965286255;21.760642977956497
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc;rrm;2362.203025817871;2427.160804748535;2431.2076959609985;2490.815589904785;31.577667101662797
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;2319.1015701293945;2386.325128364563;2381.6048221588135;2445.702045440674;40.073303413924975
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;2259.579767227173;2373.221021366119;2382.618401527405;2429.3312397003174;41.42705612730544
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;spc;brm;2368.5752601623535;2437.9689997673036;2441.5657920837402;2490.5990447998047;36.29182630161776
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;spc;rrm;2373.7072734832764;2425.8036321640016;2435.6596069335938;2468.9641284942627;29.794995191362435
nsgaii;spg;rbm_rcm_brm_bcpm_nrii;ac;brm;2357.5300121307373;2411.6033489227293;2421.406065940857;2458.187047958374;32.04812946107047
nsgaii;spg;rbm_rcm_brm_bcpm_nrii;ac;rrm;2305.9169120788574;2410.32449464798;2411.2070322036743;2500.536382675171;47.60342818956941
nsgaii;spg;rbm_rcm_brm_bcpm_nrii;ppc;brm;2331.0901412963867;2425.58053483963;2411.855257987976;2534.494722366333;46.273151077126265
nsgaii;spg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;2360.4719944000244;2429.895648097992;2437.5641708374023;2507.1827278137207;40.879370852966986
nsgaii;spg;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;2288.50279045105;2388.43806810379;2390.968984603882;2470.027187347412;59.27801780131381
