alg;init;mut;cross;repair;min_hv;avg_hv;median_hv;max_hv;std_hv
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;brm;88258.92390441895;90129.27733154297;90180.13191223145;92389.57843017578;1074.107041302111
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;90083.55401611328;92192.71046524048;92120.90832519531;94786.93952941895;1132.8423283321265
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;94788.92738342285;96877.45507125855;96791.10888671875;99099.45777893066;908.33214681748
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;86376.31460571289;89992.7468208313;89647.7401046753;93506.85774230957;1736.882420364879
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc;brm;86364.24353027344;89425.41572723389;89361.69926452637;92750.2339630127;1933.5142646991933
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc;rrm;85921.23263549805;87982.97292404175;87952.22733306885;89818.5858001709;1188.203188630149
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;90171.04615783691;93358.29635086059;93752.90238189697;96239.1609954834;1591.0998542281075
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;84370.29319763184;86686.5609085083;86712.1580581665;89323.79679870605;1433.1768898778791
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;brm;98210.26234436035;99418.91929168701;99288.48155212402;100808.27055358887;754.1390682496917
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;rrm;95871.07409667969;98181.27476882935;98263.69454193115;99914.26721191406;881.6447865954182
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;94984.20771789551;97036.0210144043;97121.6665802002;98518.36569213867;822.7222510185086
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;94770.53196716309;97162.10142745971;97093.4907836914;100024.09373474121;1185.2837182314852
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc;brm;92935.44717407227;95082.54159469604;95036.40168762207;97789.42594909668;1049.0132056238615
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc;rrm;86133.14126586914;89696.10768356323;89958.05256652832;92020.49417114258;1225.020308891771
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;98962.1450958252;99954.11580276489;99977.13413238525;100765.04542541504;513.8452351177385
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;93173.6727142334;95921.75602416992;95890.39072418213;98010.68951416016;872.1409399027106
