alg;init;mut;cross;repair;min_hv;avg_hv;median_hv;max_hv;std_hv
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;brm;90980.69052124023;92843.52738037109;92790.10369873047;95573.11698913574;1254.1055482113964
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;90450.0373840332;92871.91425323486;92830.2579574585;96599.37902832031;1385.5867728257927
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;91437.39768981934;94341.79852371216;94712.10802459717;96178.59791564941;1334.8397273104774
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;89291.63815307617;92284.83991394044;92527.33679962158;94533.71946716309;1481.6475872640103
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc;brm;89222.02857971191;91927.94571533203;91688.95946502686;94819.13293457031;1409.1110771732133
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc;rrm;87847.64276123047;90458.46602630615;90465.70448303223;94159.28364562988;1522.6397315463469
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;90172.27815246582;91926.90340957642;91685.7177734375;94649.91384887695;1190.9685762243157
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;90839.25978088379;92621.92649459839;92176.21244049072;96046.1071472168;1234.5938339026395
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;brm;91385.84312438965;93043.93598175049;93237.44366455078;94940.17463684082;1085.732672541011
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;rrm;92354.02127075195;93407.8943649292;93122.07360839844;96408.97145080566;941.446669292097
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;89712.59675598145;92794.69016647339;92999.85052490234;94387.60302734375;1175.6241467512161
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;90940.04498291016;92721.22144699097;92664.80089569092;94581.68354797363;1165.84345480261
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc;brm;91292.1723022461;92551.55085983276;92346.39094543457;94372.12727355957;900.9175752218762
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc;rrm;88747.78233337402;91826.12336349487;91940.8614578247;93398.85079956055;1122.8135260607953
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;91395.57632446289;94210.54780349732;93722.40898132324;96294.18923950195;1281.96686769855
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;90899.98449707031;92993.53663482665;93043.54763031006;94317.65922546387;896.0906385754481
