alg;init;mut;cross;repair;min_hv;avg_hv;median_hv;max_hv;std_hv
moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;brm;95752.3432006836;98100.72370986939;97935.0305557251;100735.56146240234;1482.2910955307066
moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;97245.42747497559;99937.99989929199;100066.88474273682;103044.0708618164;1575.9928871735453
moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;91632.03364562988;95732.90262680054;96328.63455200195;98946.30592346191;1924.7179118148658
moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;93979.97518920898;97499.96441345215;97195.18158721924;101690.75273132324;1750.055447958042
moead;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc;brm;96389.3161315918;97929.41374206543;97993.6972579956;99916.60900878906;949.6538328296723
moead;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc;rrm;94778.89353942871;98368.8503112793;98445.34834289551;100622.22392272949;1453.5598255354846
moead;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;95259.60145568848;97247.64553985596;97081.66048431396;99481.49662780762;1284.1442115903935
moead;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;92553.07037353516;94756.54673614501;95141.38272857666;96932.08766174316;1246.2548063420477
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;brm;93821.57055664062;97635.27754211426;97817.8616027832;100316.88963317871;1574.6378734117336
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;rrm;95640.77021789551;98241.5794494629;98241.69331359863;101345.72492980957;1437.2431381188046
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;93672.73736572266;97518.42452316284;97581.36891174316;99589.30778503418;1573.8000958464977
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;94270.22566223145;97160.44964523315;97207.16581726074;100295.83833312988;1647.1613074886939
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc;brm;94960.15113830566;97454.23467254639;97453.31867980957;99849.60150146484;1315.2276357408305
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc;rrm;97471.25489807129;99601.23655014038;99735.80679321289;101823.55093383789;1314.4316378315164
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;90434.75311279297;95421.47098464966;95268.14350128174;98462.45404052734;1854.0743869785283
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;95947.45893859863;97922.61130447387;98161.43647003174;99547.42552185059;1117.8051966807175
