alg;init;mut;cross;repair;min_hv;avg_hv;median_hv;max_hv;std_hv
moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;brm;97721.71423339844;100904.42652053833;101372.64559173584;102504.74012756348;1350.3714639343
moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;98932.60176086426;101391.80920028687;101648.97743988037;102746.0503540039;894.7621075471715
moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;97756.17498779297;99744.18193130493;99758.07913970947;101441.06787109375;1020.0254572396368
moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;97789.61056518555;99842.93832321167;99898.97492218018;102014.29391479492;1252.6052990220762
moead;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc;brm;98452.63104248047;100706.9539680481;100729.22945404053;102697.79020690918;1173.0913724057893
moead;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc;rrm;97114.65914916992;100913.96750030518;101367.55899047852;102270.22903442383;1232.2072191136228
moead;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;95470.05767822266;99266.9806274414;99650.48384094238;101712.27822875977;1661.7053225252703
moead;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;96326.26878356934;98918.29459609985;99254.63150024414;101253.74942016602;1250.8985288192582
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;brm;98281.71325683594;101194.398286438;101514.05851745605;102904.58459472656;1146.9210309946336
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;rrm;98754.58958435059;101166.58401794433;101229.61079406738;102690.80645751953;1081.361626680095
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;97293.1685333252;99893.76677169799;100139.73970794678;102060.13070678711;1298.3988585820325
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;97528.76473999023;100095.8041305542;100044.71401977539;102005.75965881348;1187.3472442519958
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc;brm;98005.39646911621;100562.37280120849;100798.19761657715;102164.68676757812;1113.2912941921015
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc;rrm;98361.6159362793;100349.09003677368;100444.17012023926;102630.07521057129;1088.9005631643956
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;96742.21824645996;99256.97737731933;99288.0389175415;101538.12649536133;1375.8020311312393
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;96167.11415100098;99411.83224182129;99504.09949493408;101995.64724731445;1287.8202663555558
