alg;init;mut;cross;repair;min_hv;avg_hv;median_hv;max_hv;std_hv
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ac;brm;85405.28573608398;88680.61950302124;88872.22923278809;90648.66488647461;1240.9758393604477
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ac;rrm;86749.59954833984;88344.40028686523;88308.49222564697;90503.1580657959;1053.6210302074614
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ppc;brm;87522.05285644531;88978.71630477905;88967.17130279541;90611.00869750977;835.9485955556573
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ppc;rrm;86399.57696533203;89261.51171569825;89373.45195007324;91159.68910217285;1218.8190970072098
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;87555.56257629395;89250.99841079712;89101.9383392334;92191.61129760742;1239.9191807493908
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;86880.36981201172;89295.30779266357;89632.53388214111;91482.24139404297;1353.2404794751349
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;spc;brm;83517.14739990234;86119.77624588013;86190.53101348877;87891.07299804688;1084.6994010752153
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;spc;rrm;84436.47061157227;85989.00650024414;85928.33814239502;88372.78643798828;934.1905684182523
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ac;brm;87284.29479980469;89031.28751831055;88953.3921585083;90787.2788696289;925.2982839349924
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ac;rrm;86023.71488952637;87789.89846878052;87715.18119049072;89645.05862426758;1135.0175081777493
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc;brm;87206.55325317383;89652.50845870972;89628.19212341309;91913.85527038574;1130.5524763823407
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc;rrm;86559.88275146484;88782.43507919312;88598.69387817383;90588.29444885254;997.1911242153342
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;87115.32537841797;89394.60337753296;89221.18110656738;91170.99905395508;973.5741664033169
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;87334.8080291748;88832.59370803833;88952.77361297607;90289.71058654785;886.3071776943374
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;spc;brm;84808.85888671875;86019.95993347168;85778.89326477051;87842.84883117676;771.0740924816392
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;spc;rrm;80974.38972473145;83065.27233200074;83161.36707305908;85128.98155212402;963.6536620232664
