alg;init;mut;cross;repair;min_hv;avg_hv;median_hv;max_hv;std_hv
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;brm;604776.6308633009;615538.1838130841;616722.7978751173;623102.1851229103;5624.518774359408
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;600588.3056200391;614707.3903321584;615516.2814190625;624552.6990317384;6169.771070871453
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;667611.279101172;677080.4658707499;677191.9524644532;682342.1075376759;4268.795195629627
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;606918.1874703517;618730.8366423858;616483.8035890919;630782.9094881447;6876.76293952231
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc;brm;605081.3567683594;614616.7068532392;611923.7442462402;626927.9490254102;7055.948978958703
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc;rrm;569385.1036849611;578673.2217153456;578648.6352561719;590606.9836883399;6272.481166216615
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;623352.5778021876;640615.2298946037;641499.6336112209;651401.0621758985;6859.014471900186
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;594104.5463853907;607042.5379958663;607551.6254252736;620184.9268227735;6030.9812530548
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;brm;666628.718126836;676364.4409762521;677386.3531222265;682142.7579747462;3839.7701143592826
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;rrm;647299.356169375;654195.8727680997;654221.5944638185;659787.142396582;3370.2587560760576
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;641967.0241974415;649489.3111488272;649340.8735756543;657897.4027571095;4486.2040390823395
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;660533.0264494141;669466.3665506269;668639.488702334;683387.5994258985;5201.682905060745
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc;brm;616911.3999176368;628299.2528133898;628390.4314860059;641487.0068098243;7240.890020013535
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc;rrm;566731.3378400587;580862.1166306797;580947.2334490234;596147.3581442775;6957.658243807631
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;682822.8084510352;689944.0303987188;689645.8716493458;696160.3368657422;3610.439488230781
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;626803.4154275391;637797.5219992549;636976.9101918165;650888.7480412502;5505.689020745882
