alg;init;mut;cross;repair;min_hv;avg_hv;median_hv;max_hv;std_hv
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;brm;608184.8661250782;614335.0520737442;612707.9032678127;627143.0463878517;5107.421846943462
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;592230.6768081837;605580.1464546651;606123.3427149317;617775.9697013086;7210.7886543726145
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;619651.3870869533;632941.4013777813;633032.7032309864;642552.5127845118;5980.211434350947
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;609400.1197601564;616089.2482867707;614781.0820233205;626279.0202521486;5265.092988080387
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc;brm;596827.052433125;606188.8651793565;605533.6730890626;617218.2572867383;5429.440591291911
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc;rrm;575109.2038696094;586814.8847853898;585815.7719161916;602126.2640417969;7556.021972050152
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;605666.2905373828;618215.5744910304;618199.5017963087;629412.830982129;5149.51117180675
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;608759.7247401953;624697.3482862549;625337.978659961;636934.80380625;7410.918821268221
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;brm;597315.085212754;606730.3589853898;606676.7291848732;622308.2522932228;5894.046895043423
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;rrm;586138.7704895313;595913.6484509102;596404.9439174414;606503.6988610744;5981.65962297974
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;604829.0600935158;612595.8700650461;612824.7598378224;622768.213399883;5390.263350947759
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;596389.5864885938;608100.4631323536;607895.7083108497;622534.9619352539;7174.248880690138
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc;brm;591128.8827532423;599401.5127204747;599640.2970702344;606307.804933418;4149.283988645764
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc;rrm;589248.3051239259;603169.404360085;604660.9447923144;609474.7375373048;5007.504844627083
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;606306.6568619142;613972.2457507267;613232.4157796975;626345.1656370313;5455.00464499508
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;588420.0316933986;599183.1508441329;599112.4714750294;609813.987570879;5828.860770330014
