alg;init;mut;cross;repair;min_hv;avg_hv;median_hv;max_hv;std_hv
moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;brm;678739.0350756445;685034.1335344042;684688.9137712207;695807.2161251171;4846.081895728691
moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;672584.0967283399;690534.1183214562;690949.2006840822;709429.6273723831;9559.95572893671
moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;630445.7376186133;654674.049067917;654892.0969688867;666948.3725797851;9336.352514618125
moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;657220.5190508595;672586.613209869;673110.8332898242;686190.9555662499;7166.331827814329
moead;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc;brm;668169.1705061132;680907.9666889699;681154.6960793067;690705.7662153516;6161.180252401185
moead;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc;rrm;669654.6429596288;688951.8208145665;690413.2441148341;703255.9111062697;9097.621030995564
moead;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;659845.9787068361;670410.5861608956;669249.1504658789;685273.5724692774;7412.174915124991
moead;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;603968.8315798242;634713.2899695401;634891.026627373;659016.8158177345;12054.8230659409
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;brm;666475.7328012304;678837.9563376416;677197.229369746;696853.4138036133;7494.863860449436
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;rrm;663360.6283312499;677760.0858456952;677711.8545567676;696073.3834022072;8893.448331739448
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;643717.3923750196;658819.8456289218;658579.3066537695;672810.0883310157;8286.149187230394
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;631312.8932236134;654253.8930003935;654312.6688266797;672161.1253930859;10247.855719771831
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc;brm;657502.4235230078;674807.01598966;675351.8705579004;686234.8868738085;6366.628382229765
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc;rrm;687567.5847109572;702570.575878638;701954.6462775685;713639.9989212696;6558.379218926424
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;620198.691338086;638312.5822387745;640996.8135510645;652467.2440925194;9456.959008113334
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;649373.200474375;665637.4574118506;665961.6280754688;681946.5540626172;9046.189818585393
