alg;init;mut;cross;repair;min_hv;avg_hv;median_hv;max_hv;std_hv
moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;brm;683907.1686539258;698625.568312208;701008.3739413281;714088.0644647658;9214.32797982959
moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;694593.928059883;705609.5400327209;704782.4448130666;717304.7093757424;5490.725695829774
moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;667223.7842750001;690833.9466906006;692034.5701321876;703009.5021953905;8434.974656307728
moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;676366.0432813868;693129.6725188926;692966.3805063086;711015.3697015825;10453.900078278195
moead;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc;brm;685834.5802748048;698288.4253149307;698782.7058509376;712552.9266005079;6800.118903197909
moead;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc;rrm;681589.7953903712;698598.6067581086;697390.8299590626;713449.5947318751;8762.522808740594
moead;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;669463.0094410935;690158.9935433272;691560.1014505177;699565.5017079687;7720.651873813086
moead;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;672216.4849243751;690208.8183396152;691594.404079502;705739.2698953712;8678.739567915245
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;brm;690345.3985927734;700788.4170118311;700341.9756557716;715036.9632883207;6323.162430623496
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;rrm;692215.8669634766;705118.3756018858;705702.6434209278;716070.8551887309;5793.951546351152
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;676880.8904620117;692184.9957771427;692413.9116774122;705057.730744805;6601.558936163987
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;675053.0526465821;691794.6494968762;690547.7782278515;705503.1807502541;7088.374366095225
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc;brm;688193.5075004101;697460.6290059639;697746.818921299;706211.0033958204;4681.979993423896
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc;rrm;684118.6671141016;697811.2239663156;698201.6554350392;709017.161951426;6308.20174366748
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;672698.2031930664;686341.4187527715;687347.6969698926;694551.2012185939;7336.606784185836
moead;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;667685.6451486328;685874.4750239189;685896.0107241699;695025.7682347657;6775.235822964053
