alg;init;mut;cross;repair;min_hv;avg_hv;median_hv;max_hv;std_hv
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ac;brm;574267.2709765235;583088.5103197265;582028.6744226075;593386.4801851953;5557.715608999467
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ac;rrm;567468.1557489063;578994.7194243596;578641.9611866896;592487.7681416603;6267.392097034992
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ppc;brm;589014.6510225977;596739.4460092082;595270.7951430664;607690.208395215;4848.191225611751
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ppc;rrm;580917.2471863283;593785.1046391611;593779.1688448633;601934.0311632813;5915.142879891358
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;591103.9455159375;602881.8907911739;602037.1738320997;613103.931119043;5997.535954286609
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;586796.3575248048;596205.1410586456;595479.5798545313;607246.8239011916;6226.598561559837
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;spc;brm;534366.4659557423;549727.9314206191;550544.6483466504;564529.7114325978;7443.069436365762
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;spc;rrm;534460.5857683985;543052.0363023055;541196.6881886622;564850.1693591016;7392.301868833263
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ac;brm;573042.3187949415;580150.6247466475;580634.9193505761;586683.1845182423;3834.6809333867536
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ac;rrm;546649.9334206836;559611.0707688516;560179.8548854395;568806.6060954689;5127.470105721339
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc;brm;586838.0626299611;598121.1793209425;597774.2990095216;606517.5880279883;4573.912248606654
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc;rrm;581978.8774501564;587025.8124030333;586119.8585097364;593451.9744825391;3594.3106009672265
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;589893.3981332423;602232.1980792872;601022.3313984864;615441.2435649806;7240.946395555396
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;586013.3238072266;594797.1235859229;596109.5890013869;605671.492664258;5508.43614487517
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;spc;brm;523710.1249662696;537501.8172141348;539692.2984590235;551395.7963390431;7073.767893341235
nsgaii;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;spc;rrm;481325.5163548048;494662.19194656645;492918.11306479503;520273.5842847852;9572.02051857501
nsgaii;spg;rbm_rcm_brm_bcpm_nrii;ac;brm;573759.650419004;584712.9030517002;584958.4027963185;595671.6272119142;4894.245337978051
nsgaii;spg;rbm_rcm_brm_bcpm_nrii;ac;rrm;566707.9884870509;578989.979918674;579885.621241465;586275.0509382423;5566.8757445580195
nsgaii;spg;rbm_rcm_brm_bcpm_nrii;ppc;brm;579921.9563947852;597398.215986203;598300.6347570508;611102.4090049025;7785.301623760235
nsgaii;spg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;583447.0062615821;595808.0010270391;596154.0415802344;608661.3128738868;6828.075647272719
nsgaii;spg;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;590624.6419281446;600027.6320673038;599163.168427539;615398.6469121095;5700.861484623121
nsgaii;spg;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;586497.8533475978;597563.8082580479;599235.2827061622;611996.8204904102;6477.936925298382
nsgaii;spg;rbm_rcm_brm_bcpm_nrii;spc;brm;533957.6382786914;543451.0028811164;542599.4131295998;556486.6524726368;5908.17801664498
nsgaii;spg;rbm_rcm_brm_bcpm_nrii;spc;rrm;525848.1090297657;535688.1528176309;534741.4587640528;547512.5313450977;6275.030259816997
nsgaii;spg;rbm_rcm_brm_bcpm_wri;ac;brm;568051.6157924415;578431.8748493028;579067.2185995118;588347.2260910157;4989.143492297081
nsgaii;spg;rbm_rcm_brm_bcpm_wri;ac;rrm;539228.0539452736;554379.3581547413;551884.2057938771;569015.2709847853;8627.34946720367
nsgaii;spg;rbm_rcm_brm_bcpm_wri;ppc;brm;590039.8153170118;599034.5779621496;598778.0652457325;614503.1098306251;5966.821738044418
nsgaii;spg;rbm_rcm_brm_bcpm_wri;ppc;rrm;574945.4777664258;583030.46915267;584307.5895893751;592727.9361055861;5260.578679767932
nsgaii;spg;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;591366.2580043555;602917.0058855665;603511.2438031153;612245.84943459;4579.695707508461
nsgaii;spg;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;577791.0737950001;589564.6928365626;588975.776379961;602431.0606033595;5980.374570464794
nsgaii;spg;rbm_rcm_brm_bcpm_wri;spc;brm;522578.05288396496;534704.4455734121;533863.5706685255;546397.7050236915;7298.217218620848
nsgaii;spg;rbm_rcm_brm_bcpm_wri;spc;rrm;472807.996145625;490833.4075641699;492271.26174284186;505091.2632136915;8757.199577822686
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ac;brm;587406.7823303516;595752.981093955;594282.101099756;605959.0441979883;5007.124937392711
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ac;rrm;571720.0481391016;588522.6576655305;588113.5338566604;598044.4976484375;6384.905444243504
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;brm;604276.241660879;611363.491169004;610809.5242703322;619401.0993744142;3952.4844540266386
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;600961.7523357032;608884.6532884728;609337.0170547755;618833.3263297266;4136.798724644502
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;606947.2595777541;619112.5358632735;617461.5477146974;639678.2308153907;7964.256445954206
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;603344.6751262306;619748.8038747696;618977.3198774317;638902.270101543;8531.60908433569
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;spc;brm;550463.9858340039;562139.9443840255;561847.4444004102;570530.0422433594;5535.136066070664
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;spc;rrm;533956.139745254;548215.1908083585;547320.3550897266;559934.1784814454;6808.700123305203
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ac;brm;569099.0238274805;588522.6679491668;589024.8420305665;600028.79512875;7401.790436232684
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ac;rrm;554723.0092466212;564371.0629683567;565695.8268070704;579147.0317622657;6095.760460736167
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc;brm;601018.3235850782;609496.7284119229;609751.535074629;622777.5007551173;5583.873524020276
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc;rrm;578746.4107986329;591969.0450982334;591107.0283073438;600894.5769557423;4969.3291352415445
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;612248.9110475978;620264.5207223829;616857.1689888184;639729.9163901564;6594.919920101225
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;595202.5372621876;606257.7056333566;607283.5734489552;621100.0617839454;6626.513745784692
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;spc;brm;538656.3401775196;546412.2633901115;546244.0077754981;560338.0608998438;5331.867183617558
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;spc;rrm;481747.0186344532;497980.9144759571;498693.3999223048;513875.7539973829;8654.104806919671
nsgaii;sq_bpg_50x50_tel_bgp_strict_ir;rbm_rcm_brm_bcpm_nrii;ac;brm;575434.9271258009;586158.9021206301;585734.7643102834;598065.3387196485;5933.132425864413
nsgaii;sq_bpg_50x50_tel_bgp_strict_ir;rbm_rcm_brm_bcpm_nrii;ac;rrm;570674.7372517579;578322.1034953858;577881.5906018165;584953.0168333204;3312.659884272699
nsgaii;sq_bpg_50x50_tel_bgp_strict_ir;rbm_rcm_brm_bcpm_nrii;ppc;brm;587733.5521735352;600529.965949212;601072.0862034766;619185.5226850782;6336.342915094897
nsgaii;sq_bpg_50x50_tel_bgp_strict_ir;rbm_rcm_brm_bcpm_nrii;ppc;rrm;588928.4028268361;597954.5846465547;597037.5653127735;606876.0748101759;4992.430640349543
nsgaii;sq_bpg_50x50_tel_bgp_strict_ir;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;599659.2376310547;608854.7165929718;608466.9633158399;621708.5746604298;6178.6982948674295
nsgaii;sq_bpg_50x50_tel_bgp_strict_ir;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;593390.2307961914;605911.468796293;605591.6992912696;614302.2273710353;4859.416752620312
nsgaii;sq_bpg_50x50_tel_bgp_strict_ir;rbm_rcm_brm_bcpm_nrii;spc;brm;539167.6209651954;549395.5403385742;546881.2044642384;568893.7890961329;7429.998596583023
nsgaii;sq_bpg_50x50_tel_bgp_strict_ir;rbm_rcm_brm_bcpm_nrii;spc;rrm;527127.4648716992;538684.891212547;539117.5905699024;546116.1384624415;4833.530221756492
nsgaii;sq_bpg_50x50_tel_bgp_strict_ir;rbm_rcm_brm_bcpm_wri;ac;brm;575132.3704452735;583386.5839707119;582125.3411247461;599331.9102260353;6035.9126844046905
nsgaii;sq_bpg_50x50_tel_bgp_strict_ir;rbm_rcm_brm_bcpm_wri;ac;rrm;549458.6136847462;559977.9836233284;559579.2913783594;572005.9518864454;5498.500520016546
nsgaii;sq_bpg_50x50_tel_bgp_strict_ir;rbm_rcm_brm_bcpm_wri;ppc;brm;587447.3391340235;601699.4391973594;601925.1651257423;612896.6269544727;5940.6464921192255
nsgaii;sq_bpg_50x50_tel_bgp_strict_ir;rbm_rcm_brm_bcpm_wri;ppc;rrm;579741.8682148634;587933.8156391154;588182.2031386329;602881.8880100977;5078.285219181084
nsgaii;sq_bpg_50x50_tel_bgp_strict_ir;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;595021.695558418;606116.2485434718;607641.2613678321;613338.8172557617;5196.433896650366
nsgaii;sq_bpg_50x50_tel_bgp_strict_ir;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;590692.3403481836;599645.0499479463;597294.3421317189;611873.0422108595;5870.473021002265
nsgaii;sq_bpg_50x50_tel_bgp_strict_ir;rbm_rcm_brm_bcpm_wri;spc;brm;522763.8854919923;537672.1193450127;537580.4071596875;549053.6455691212;5589.449523815451
nsgaii;sq_bpg_50x50_tel_bgp_strict_ir;rbm_rcm_brm_bcpm_wri;spc;rrm;470504.1719401758;493931.55158318655;494164.09889407235;515438.19805582036;10457.582216273751
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ac;brm;582491.1313901953;590377.0133888195;589842.5415460158;602853.2744975782;5102.596785498134
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ac;rrm;573684.8680239259;585268.6553975802;586125.2150122755;593526.2756627148;5918.652239432279
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;brm;594493.6506838477;603345.3648759209;603718.7709295412;610049.1380159962;4721.917537451899
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;rrm;590063.368565625;599012.9866805539;597150.7933367384;611676.9928397462;5872.572307792498
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;594309.2559283008;609459.5521184416;609038.9430620898;624199.9470289454;6704.23355101558
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;597417.4940874806;607676.024259465;607517.3986696876;618149.7745235354;5331.313604497147
nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;spc;brm;546857.1763042384;556886.081970751;556476.220509834;565731.124430254;4742.9227603868985
