filename;alg;init;mut;cross;repair;n_pop;cxpb;mutpb;min_hv;avg_hv;median_hv;max_hv;std_hv
1737136140_fianl_tests.txt;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc;rrm;100;50;50;31710.140127114257;32383.462288549315;32395.847395872803;32956.76799967529;318.6965954138029
1737136140_fianl_tests.txt;moead;spg;rbm_rcm_brm_bcpm_wri;ac;rrm;100;50;100;31052.95979297607;32046.279115091304;32189.125184055178;32583.601547260743;371.7620773514907
1737136140_fianl_tests.txt;moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;100;50;50;31683.61572068115;32161.821525726926;32216.98953625122;32637.49809647217;322.6398921209175
1737136140_fianl_tests.txt;moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;110;50;60;31788.996160439452;32292.528695082397;32346.529931051027;32942.35954478027;279.6495470031117
1737136140_fianl_tests.txt;moead;tel_bpg_strict;rbm_rcm_brm_bcpm_nrii;ppc;rrm;100;50;50;31300.667053134763;32296.019359379152;32332.05863283325;32875.29263307617;382.58234713031413
1737136140_fianl_tests.txt;nsgaii;spg;rbm_rcm_brm_bcpm_wri;ac;rrm;100;50;100;28810.638721257325;29770.526122167845;29782.990875115967;30745.350275012206;488.1914938987281
1737136140_fianl_tests.txt;nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;120;90;50;29535.355516245116;30198.23806939539;30195.279762126465;30909.978521252444;362.51243074766484
1737136140_fianl_tests.txt;nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;brm;300;100;10;30982.704309382323;31374.511821409425;31383.68226235962;31772.354598964845;234.89763894896635
1737136140_fianl_tests.txt;nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;rrm;100;50;50;29341.54485112793;30006.597119612183;29991.896946795656;30709.287416403808;286.60216512051795
1737136140_fianl_tests.txt;nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;340;100;10;30999.947158725587;31661.48510452868;31690.863821002196;32055.391035065917;254.49633884119626
