filename;alg;init;mut;cross;repair;n_pop;cxpb;mutpb;min_hv;avg_hv;median_hv;max_hv;std_hv
1737136140_fianl_tests.txt;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc;rrm;100;50;50;22058.235542961436;22187.15971954653;22174.55459481447;22356.522886152365;74.76318703938395
1737136140_fianl_tests.txt;moead;spg;rbm_rcm_brm_bcpm_wri;ac;rrm;100;50;100;21868.44364905763;22027.10115196034;22041.568430721447;22143.7597932129;79.06872186619782
1737136140_fianl_tests.txt;moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;100;50;50;22053.180580803237;22141.820128396503;22140.502817928485;22243.31146037111;54.72537572852769
1737136140_fianl_tests.txt;moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;110;50;60;21949.585862768567;22171.189832990618;22192.155081569843;22342.8925303174;88.04041317223135
1737136140_fianl_tests.txt;moead;tel_bpg_strict;rbm_rcm_brm_bcpm_nrii;ppc;rrm;100;50;50;21863.53646737306;22132.748036968398;22162.235850604266;22452.982645131848;128.63652814904574
1737136140_fianl_tests.txt;nsgaii;spg;rbm_rcm_brm_bcpm_wri;ac;rrm;100;50;100;20180.924798620606;20639.115779129035;20590.854060671387;21071.4306189502;204.65909408175418
1737136140_fianl_tests.txt;nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;120;90;50;21018.731496245124;21298.105336441662;21275.727745499273;21552.700151098645;135.42616506757835
1737136140_fianl_tests.txt;nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;brm;300;100;10;21467.425615864267;21692.072574764054;21722.07200262574;21875.199249033216;138.36156875591072
1737136140_fianl_tests.txt;nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;rrm;100;50;50;20289.570415041504;20708.031099357548;20660.546695703124;21275.77348663575;231.5338770459736
1737136140_fianl_tests.txt;nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;340;100;10;21434.66209567872;21729.451874891856;21760.703624940194;21954.14140206544;128.6949488642323
