filename;alg;init;mut;cross;repair;n_pop;cxpb;mutpb;min_igd;avg_igd;median_igd;max_igd;std_igd
1737136140_fianl_tests;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc;rrm;100;50;50;0.3816126023657076;1.507173277675481;1.0601412528350702;4.238656199438145;1.1343706278934205
1737136140_fianl_tests;moead;spg;rbm_rcm_brm_bcpm_wri;ac;rrm;100;50;100;0.7494750680688673;2.1463425814944834;2.3336766501196866;3.8513276861046637;0.7667093647330082
1737136140_fianl_tests;moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;100;50;50;0.40969580475053907;2.013713726324859;1.609835601728625;4.795912142352468;1.1353723900226087
1737136140_fianl_tests;moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;110;50;60;0.7941432072505448;2.1431709369613237;2.05192870942503;4.403627518131283;0.8078859989204698
1737136140_fianl_tests;moead;tel_bpg_strict;rbm_rcm_brm_bcpm_nrii;ppc;rrm;100;50;50;0.6680107376912461;1.9864644098906852;1.7658308162495373;4.35814919509193;1.138127417211123
1737136140_fianl_tests;nsgaii;spg;rbm_rcm_brm_bcpm_wri;ac;rrm;100;50;100;4.7443053101257675;8.544368221366174;8.69906832099198;10.946673854606994;1.536803524125642
1737136140_fianl_tests;nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;120;90;50;2.7592860709735145;5.041112278981087;5.078630128094284;7.409271176117523;1.0639043168078386
1737136140_fianl_tests;nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;brm;300;100;10;2.37289205021713;5.126626637016932;4.887678925984972;8.10333526126562;1.669660237303585
1737136140_fianl_tests;nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;rrm;100;50;50;6.0147174447167435;8.954447611164474;9.027059805290357;11.240849174983943;1.2094064180424986
1737136140_fianl_tests;nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;340;100;10;2.682014136925643;5.534620228245093;5.989016838853635;7.971658454843562;1.6247313883352925
