filename;alg;init;mut;cross;repair;n_pop;cxpb;mutpb;min_igd;avg_igd;median_igd;max_igd;std_igd
1737136140_fianl_tests;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc;rrm;100;50;50;5.904081366642031;7.872518537375116;7.407889482704293;12.383874127859864;1.7374445153673
1737136140_fianl_tests;moead;spg;rbm_rcm_brm_bcpm_wri;ac;rrm;100;50;100;8.668644940892149;10.613490892416232;10.163305666377108;16.97532689238682;1.8688744885537847
1737136140_fianl_tests;moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;100;50;50;3.631501595857505;6.519370226015842;5.799365378795564;11.678796926615957;2.0958488875774868
1737136140_fianl_tests;moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;110;50;60;4.412607749592721;6.2791512585227665;5.44894610830122;11.972269675672115;1.9302169141136782
1737136140_fianl_tests;moead;tel_bpg_strict;rbm_rcm_brm_bcpm_nrii;ppc;rrm;100;50;50;4.107964863132655;6.399199510674731;6.206882064880169;12.367694250169956;1.772476494093147
1737136140_fianl_tests;nsgaii;spg;rbm_rcm_brm_bcpm_wri;ac;rrm;100;50;100;26.33654816887681;40.18056320767054;40.213707071659;50.81592332277063;6.588268099927621
1737136140_fianl_tests;nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;120;90;50;24.52108804967173;37.38056591465539;37.840354677153286;50.645169675139186;5.855453756871892
1737136140_fianl_tests;nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;brm;300;100;10;5.897958799327318;9.035603287055707;8.79910648876167;13.634811469039674;1.9710534823283083
1737136140_fianl_tests;nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;rrm;100;50;50;24.251461091414573;33.198860631923466;32.68985172348444;42.45940499586186;4.734533639939597
1737136140_fianl_tests;nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;340;100;10;5.638618198687289;8.181152183713403;8.165268946413875;11.105349324387232;1.829971459544869
