filename;alg;init;mut;cross;repair;n_pop;cxpb;mutpb;min_igd;avg_igd;median_igd;max_igd;std_igd
1737136140_fianl_tests;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc;rrm;100;50;50;0.6772965704185671;1.487648258852705;1.5287839002357346;2.9252100881570082;0.6055202962633965
1737136140_fianl_tests;moead;spg;rbm_rcm_brm_bcpm_wri;ac;rrm;100;50;100;1.9152336213646282;2.813776227996378;2.856074600379037;3.827718116092879;0.5832099014846294
1737136140_fianl_tests;moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;100;50;50;1.0336259773418377;2.1809407790796564;2.219899712974812;3.9118155085852493;0.7991772235688839
1737136140_fianl_tests;moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;110;50;60;1.021530289033555;2.269575802678006;2.2953344682883428;4.718722571363194;0.9795329672076126
1737136140_fianl_tests;moead;tel_bpg_strict;rbm_rcm_brm_bcpm_nrii;ppc;rrm;100;50;50;0.774380268596059;2.0859330212278064;2.0692143433732175;4.080244400969726;0.8210115325991112
1737136140_fianl_tests;nsgaii;spg;rbm_rcm_brm_bcpm_wri;ac;rrm;100;50;100;9.837367878229932;17.58251936014711;16.658737162049867;25.30749433895374;4.1063403698761975
1737136140_fianl_tests;nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;120;90;50;12.847720036092745;19.908010006951393;20.867779346836443;27.287994439019236;3.900337560927366
1737136140_fianl_tests;nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;brm;300;100;10;6.426387093782927;11.096432840786623;10.274847253257953;17.777350809538202;3.3315386852100732
1737136140_fianl_tests;nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;rrm;100;50;50;15.962443628214144;28.319062902067213;30.379333021345445;34.425907011989054;5.182220687365624
1737136140_fianl_tests;nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;340;100;10;5.048361295101692;11.255490369378254;11.819646871007999;19.656037842327677;3.373811992042668
