alg;init;mut;cross;repair;min_hv;avg_hv;median_hv;max_hv;std_hv
moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ac;brm;97862.05038452148;99116.27976379395;99102.15316772461;100471.1489868164;636.6627979052748
moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ac;rrm;97208.04086303711;98756.92711639404;98576.96712493896;100146.89595031738;758.5834131175843
moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ppc;brm;99300.31309509277;100747.67958526612;100714.2603302002;102317.18984985352;820.5205458580346
moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ppc;rrm;98637.24534606934;101028.6527709961;101046.93965911865;102940.09571838379;896.6436407563455
moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;97619.56579589844;99228.56900100708;99050.56404876709;101280.3090057373;1048.440498681435
moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;97121.63945007324;99025.36767349244;98906.36222839355;100749.2787475586;965.3828968247765
moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;spc;brm;96937.73899841309;97875.11236495971;97784.80059814453;99276.74365234375;583.916920610835
moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;spc;rrm;95825.68310546875;97377.88316192626;97333.8263092041;99045.33529663086;713.48228272138
moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ac;brm;98041.64933776855;98935.51409988404;98898.42436218262;99939.86122131348;536.5715477664238
moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ac;rrm;96084.51396179199;98336.53795089721;98277.23663330078;99924.97314453125;937.7163280397456
moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc;brm;99548.85400390625;100847.55130233764;100714.30244445801;102654.20454406738;791.3022303287697
moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc;rrm;97874.8264465332;100547.45559310913;100680.58233642578;101559.50184631348;802.4480749323828
moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;95697.1929321289;99169.13479537964;99213.45345306396;101304.68557739258;1130.905669925638
moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;97937.79614257812;99243.24525909424;99211.45235443115;100568.43544006348;626.1601852596422
moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;spc;brm;96452.5495300293;97569.70800170899;97523.13970947266;99339.31886291504;689.4021697136866
moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;spc;rrm;95227.80473327637;96785.99991149902;96861.52042388916;98038.30015563965;754.5958438130698
